"","index","n"
"1",2010-01-01,851
"2",2010-02-01,726
"3",2010-03-01,803
"4",2010-04-01,757
"5",2010-05-01,810
"6",2010-06-01,702
"7",2010-07-01,747
"8",2010-08-01,791
"9",2010-09-01,772
"10",2010-10-01,860
"11",2010-11-01,796
"12",2010-12-01,861
"13",2011-01-01,817
"14",2011-02-01,759
"15",2011-03-01,848
"16",2011-04-01,845
"17",2011-05-01,831
"18",2011-06-01,757
"19",2011-07-01,807
"20",2011-08-01,838
"21",2011-09-01,820
"22",2011-10-01,825
"23",2011-11-01,801
"24",2011-12-01,934
"25",2012-01-01,882
"26",2012-02-01,914
"27",2012-03-01,841
"28",2012-04-01,856
"29",2012-05-01,803
"30",2012-06-01,770
"31",2012-07-01,846
"32",2012-08-01,826
"33",2012-09-01,897
"34",2012-10-01,894
"35",2012-11-01,878
"36",2012-12-01,959
"37",2013-01-01,925
"38",2013-02-01,882
"39",2013-03-01,938
"40",2013-04-01,854
"41",2013-05-01,895
"42",2013-06-01,830
"43",2013-07-01,802
"44",2013-08-01,857
"45",2013-09-01,905
"46",2013-10-01,910
"47",2013-11-01,841
"48",2013-12-01,940
"49",2014-01-01,931
"50",2014-02-01,882
"51",2014-03-01,958
"52",2014-04-01,900
"53",2014-05-01,826
"54",2014-06-01,805
"55",2014-07-01,755
"56",2014-08-01,939
"57",2014-09-01,920
"58",2014-10-01,903
"59",2014-11-01,916
"60",2014-12-01,948
"61",2015-01-01,1051
"62",2015-02-01,855
"63",2015-03-01,948
"64",2015-04-01,935
"65",2015-05-01,904
"66",2015-06-01,869
"67",2015-07-01,856
"68",2015-08-01,917
"69",2015-09-01,902
"70",2015-10-01,995
"71",2015-11-01,925
"72",2015-12-01,1054
"73",2016-01-01,942
"74",2016-02-01,930
"75",2016-03-01,929
"76",2016-04-01,920
"77",2016-05-01,930
"78",2016-06-01,881
"79",2016-07-01,928
"80",2016-08-01,912
"81",2016-09-01,964
"82",2016-10-01,1049
"83",2016-11-01,1017
"84",2016-12-01,1053
"85",2017-01-01,1060
"86",2017-02-01,967
"87",2017-03-01,1058
"88",2017-04-01,923
"89",2017-05-01,1034
"90",2017-06-01,934
"91",2017-07-01,940
"92",2017-08-01,1072
"93",2017-09-01,1141
"94",2017-10-01,1213
"95",2017-11-01,1065
"96",2017-12-01,1114
"97",2018-01-01,1082
"98",2018-02-01,958
"99",2018-03-01,1134
"100",2018-04-01,1072
"101",2018-05-01,1046
"102",2018-06-01,974
"103",2018-07-01,1029
"104",2018-08-01,1040
"105",2018-09-01,1086
"106",2018-10-01,1095
"107",2018-11-01,1095
"108",2018-12-01,1153
"109",2019-01-01,1118
"110",2019-02-01,1032
"111",2019-03-01,1225
"112",2019-04-01,1124
"113",2019-05-01,1149
"114",2019-06-01,1057
"115",2019-07-01,1089
"116",2019-08-01,1107
"117",2019-09-01,1176
"118",2019-10-01,1136
"119",2019-11-01,1152
"120",2019-12-01,1189
