"","ym_variation"
"1",-0.146886016451234
"2",0.106060606060606
"3",-0.0572851805728518
"4",0.07001321003963
"5",-0.133333333333333
"6",0.0641025641025641
"7",0.0589022757697457
"8",-0.0240202275600506
"9",0.113989637305699
"10",-0.0744186046511628
"11",0.0816582914572865
"12",-0.0511033681765389
"13",-0.0709914320685434
"14",0.117259552042161
"15",-0.00353773584905659
"16",-0.0165680473372781
"17",-0.089049338146811
"18",0.0660501981505945
"19",0.0384138785625774
"20",-0.0214797136038186
"21",0.00609756097560976
"22",-0.0290909090909091
"23",0.166042446941323
"24",-0.0556745182012848
"25",0.036281179138322
"26",-0.0798687089715536
"27",0.0178359096313911
"28",-0.0619158878504673
"29",-0.041095890410959
"30",0.0987012987012987
"31",-0.0236406619385343
"32",0.0859564164648909
"33",-0.00334448160535117
"34",-0.0178970917225951
"35",0.0922551252847381
"36",-0.0354535974973931
"37",-0.0464864864864865
"38",0.0634920634920635
"39",-0.0895522388059702
"40",0.0480093676814988
"41",-0.0726256983240223
"42",-0.0337349397590362
"43",0.06857855361596
"44",0.0560093348891482
"45",0.00552486187845314
"46",-0.0758241758241758
"47",0.117717003567182
"48",-0.00957446808510642
"49",-0.0526315789473685
"50",0.0861678004535147
"51",-0.0605427974947808
"52",-0.0822222222222222
"53",-0.0254237288135594
"54",-0.062111801242236
"55",0.243708609271523
"56",-0.020234291799787
"57",-0.0184782608695652
"58",0.0143964562569214
"59",0.034934497816594
"60",0.108649789029536
"61",-0.186489058039962
"62",0.108771929824561
"63",-0.0137130801687764
"64",-0.0331550802139038
"65",-0.0387168141592921
"66",-0.0149597238204833
"67",0.0712616822429906
"68",-0.0163576881134133
"69",0.10310421286031
"70",-0.0703517587939698
"71",0.139459459459459
"72",-0.106261859582543
"73",-0.0127388535031847
"74",-0.00107526881720432
"75",-0.0096878363832078
"76",0.0108695652173914
"77",-0.0526881720430108
"78",0.0533484676503972
"79",-0.0172413793103449
"80",0.0570175438596492
"81",0.0881742738589211
"82",-0.0305052430886559
"83",0.0353982300884956
"84",0.00664767331433991
"85",-0.0877358490566038
"86",0.0941054808686659
"87",-0.127599243856333
"88",0.120260021668472
"89",-0.0967117988394585
"90",0.00642398286937906
"91",0.140425531914894
"92",0.0643656716417911
"93",0.0631025416301489
"94",-0.122011541632317
"95",0.0460093896713616
"96",-0.0287253141831239
"97",-0.11460258780037
"98",0.183716075156576
"99",-0.0546737213403881
"100",-0.0242537313432836
"101",-0.0688336520076482
"102",0.0564681724845997
"103",0.0106899902818269
"104",0.0442307692307693
"105",0.00828729281767959
"106",0
"107",0.0529680365296803
"108",-0.0303555941023417
"109",-0.0769230769230769
"110",0.187015503875969
"111",-0.0824489795918367
"112",0.0222419928825623
"113",-0.0800696257615318
"114",0.0302743614001892
"115",0.0165289256198347
"116",0.0623306233062331
"117",-0.0340136054421769
"118",0.0140845070422535
"119",0.0321180555555556
